"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"notAvailbleCountry/none";"Unfortunately, you don't have any unlocked country in selected game mode. Please choose another game mode.";"Malheureusement, vous n'avez débloqué aucun des pays disponibles pour le mode de jeu sélectionné. Veuillez choisir un autre mode de jeu.";"Sfortunatamente non hai nessuna nazione sbloccata prevista nella modalità di gioco selezionata. Si prega di scegliere un'altra modalità di gioco.";"Leider steht dir für den gewählten Spielmodus keine freigeschaltete Nation zur Verfügung. Bitte wähle einen anderen Spielmodus.";"Por desgracia, no tienes ningún país desbloqueado en el modo de juego seleccionado. Por favor, selecciona otro modo de juego.";"К сожалению, у вас сейчас нет доступных стран для выбранного игрового режима. Пожалуйста, выберите другой игровой режим.";"Niestety, nie masz odblokowanych sił zbrojnych żadnego kraju w wybranym trybie rozgrywki. Wybierz inny tryb rozgrywki.";"Bohužel nemáš odemknutou žádnou zemi pro vybraný herní mód, vyber si jiný mód";"Ne yazık ki seçilen oyun modu için hiç bir ülkeyi açmadınız. Lütfen başka bir oyun modu seçin.";"尚\t未\t解\t锁\t可\t参\t加\t该\t游\t戏\t模\t式\t的\t国\t家。\t请\t选\t择\t另\t一\t种\t游\t戏\t模\t式。";"残念ながら、\t選択された\tゲームモードで\tアンロックされた\t国がありません。\t他の\tゲームモードを\t選択してください。";"Infelizmente, não possui qualquer nação desbloqueada no modo de jogo selecionado. Por favor, escolha outro modo de jogo.";"На жаль, у вас зараз немає доступних країн для обраного ігрового режиму. Будь ласка, виберіть інший ігровий режим.";"Nažalost, nemate ni jednu otključanu naciju u izabranom režimu. Molim vas izaberite drugi režim.";"Sajnos nincs egy feloldott nemzeted sem a kiválasztott játékmódhoz. Kérlek, válassz egy másik játékmódot.";"선택한 게임 모드에서 잠금 해제된 국가가 없습니다. 다른 게임 모드를 선택하십시오.";"У вас няма зараз даступных дзяржаў для выбранага рэжыму гульні. Выберыце іншы рэжым гульні.";"Din păcate, nu ai nici o țară deblocată pentru modul curent de joc. Alege alt mod de joc.";"很\t不\t幸，\t你\t選\t定\t的\t遊\t戲\t模\t式\t中\t沒\t有\t可\t以\t使\t用\t的\t國\t家，\t請\t選\t擇\t其\t他\t遊\t戲\t模\t式";"尚\t未\t解\t锁\t可\t参\t加\t该\t游\t戏\t模\t式\t的\t国\t家。\t请\t选\t择\t另\t一\t种\t游\t戏\t模\t式。";"Đáng tiếc, bạn không có quốc gia nào đã mở khóa cho chế độ được chọn. Vui lòng chọn chế độ khác.";;
"msgbox/notAvailbleMode";"This mode is temporarily unavailable.";"Ce mode est temporairement indisponible.";"Questa modalità al momento non è disponibile.";"Dieser Spielmodus ist vorübergehend nicht verfügbar.";"Este modo no está disponible temporalmente.";"Данный режим временно недоступен.";"Ten tryb jest tymczasowo niedostępny.";"Tento mód je dočasně nedostupný";"Bu mod geçici olarak kullanılamıyor.";"此\t模\t式\t暂\t不\t可\t用。";"この\tモードは\t一時的に\t使用できません。";"Este modo está temporariamente indisponível.";"Цей режим тимчасово недоступний.";"Ovaj režim je privremeno nedostupan.";"Ez a mód átmenetileg nem elérhető.";"이 모드는 일시적으로 사용할 수 없습니다.";"Гэты рэжым часова недаступны.";"Acest mod este momentan indisponibil.";"這\t個\t模\t式\t暫\t時\t無\t法\t使\t用";"此\t模\t式\t暂\t不\t可\t用。";"Chế độ này là tạm thời chưa mở.";;
"notAvailbleMode/choose";"The selected mode is temporarily unavailable.
Please select another one.";"Le mode sélectionné est temporairement indisponible. Veuillez en sélectionner un autre.";"Il paese selezionato è temporaneamente non disponibile. Si prega di selezionarne un altro.";"Der ausgewählte Spielmodus ist vorübergehend nicht verfügbar.
Bitte wähle einen anderen Spielmodus aus.";"El modo seleccionado no está disponible temporalmente. Selecciona otro, por favor.";"Выбранный режим временно недоступен.
Пожалуйста, выберите другой.";"Wybrany tryb jest obecnie niedostępny.
Prosimy wybrać inny.";"Vybraný mód je dočasně nedostupný, vyber si jiný";"Seçilen oyun modu geçici olarak kullanılamıyor, lütfen başka bir mod seçin.";"所\t选\t模\t式\t暂\t不\t可\t用。
请\t选\t择\t其\t他\t模\t式。";"選択した\tモードは\t一時的に\t使用できません。\t別の\tモードを\t選択してください。";"O modo selecionado está temporariamente indisponível.
Selecione outro.";"Вибраний режим тимчасово недоступний.
Будь ласка, виберіть інший.";"Odabrani režim je privremeno nedostupan.
Molimo vas odaberite drugi režim.";"Ez a mód átmenetileg nem elérhető.
Kérlek, válassz másikat.";"선택한 모드는 일시적으로 사용할 수 없습니다.
다른 모드를 선택하십시오.";"Гэты рэжым часова недаступны,
выберыце іншы.";"Modul selectat este momentan indisponibil.
Selectează alt mod.";"這\t個\t模\t式\t暫\t時\t無\t法\t使\t用
請\t選\t擇\t其\t他\t的\t模\t式";"所\t选\t模\t式\t暂\t不\t可\t用。
请\t选\t择\t其\t他\t模\t式。";"Chế độ đã chọn tạm thời không mở.
Vui lòng chọn chế độ khác.";;
"msgbox/notAvailbleGoldPurchase";"This feature is not available yet.";"Cette fonctionnalité n'est pas encore disponible.";"Questo contenuto non è ancora disponibile.";"Dieses Feature ist noch nicht verfügbar.";"Esta función aún no está disponible.";"Данный раздел игры временно недоступен.";"Ta funkcja nie jest jeszcze dostępna.";"Tato funkce ještě není dostupná";"Bu özellik henüz uygun değildir.";"本\t功\t能\t尚\t不\t可\t用。";"この\t機能はまだ\t使用できません。";"Esta funcionalidade ainda não está disponível.";"Цей розділ гри тимчасово недоступний.";"Ova funkcija još uvek nije dostupna.";"Ez a funkció még nem elérhető.";"이 기능은 아직 사용할 수 없습니다.";"Гэтая функцыя часова недаступная.";"Această funcție nu este încă disponibilă.";"本\t功\t能\t尚\t不\t可\t用。";"充\t值\t通\t道\t暂\t未\t开\t启，\t请\t留\t意\t官\t网\t后\t续\t公\t告！";"Tính năng này chưa hỗ trợ.";;
"mainmenu/countryLocked";"Vehicles of this country are currently locked.";"Les véhicules de ce pays sont actuellement verrouillés.";"Le unità di questa nazione sono al momento bloccate.";"Die Fahrzeug dieser Nation sind momentan gesperrt.";"Los vehículos de este país están bloqueados en este momento.";"Техника данной страны недоступна.";"Maszyny tego kraju są aktualnie niedostępne.";"Stroje této země jsou momentálně uzamčené";"Bu ülkenin uçakları şu anda kilitli.";"该\t国\t载\t具\t目\t前\t被\t锁\t定。";"この\t国の\t機体は\t現在\tロックされています。";"Veículos deste país estão atualmente bloqueados.";"Техніка цієї країни недоступна.";"Vozila ove države su trenutno zaključana.";"Ezen nemzet járművei pillanatnyilag nem elérhetők.";"이 국가의 장비는 현재 잠겨 있습니다.";"Тэхніка гэтай дзяржавы недаступная.";"Vehiculele acestei țări sunt blocate.";"這\t個\t國\t家\t的\t載\t具\t目\t前\t為\t鎖\t定\t狀\t態";"该\t国\t载\t具\t目\t前\t被\t锁\t定。";"Phương tiện quốc gia này hiện tại đang khóa.";"COMMON FOR PLANES AND TANKS";
"mainmenu/countryLocked/tooltip";"You can unlock this country's vehicles by fighting in 11 battles against other players (only the battles where RP were gained are counted).";"Vous pouvez débloquer des véhicules de ce pays en combattant dans 11 batailles contre d'autres joueurs (uniquement les batailles où ont été acquis des RP sont comptés).";"È possibile sbloccare unità di questa nazione partecipando a 11 battaglie contro altri giocatori (contano solo le battaglie in cui vengono guadagnati RP).";"Du kannst die Fahrzeuge dieser Nation freischalten, indem du an 11 Zufallsschlachten gegen andere Spieler teilnimmst. Dabei werden nur Schlachten gezählt, in denen du Forschungspunkte erworben hast.";"Se pueden desbloquear vehículos de este país combatiendo en 11 batallas contra otros jugadores (solo se cuentan las batallas donde se ganaron PI).";"Вы можете разблокировать технику данной страны, приняв участие в 11 боях против других игроков (в зачёт идут только те бои, за которые были получены очки исследований).";"Odblokowanie Lotnictwa i Wojsk Lądowych tego kraju, wymaga wzięcia udziału w 11 bitwach przeciwko innym graczom (liczą się tylko bitwy, gdzie zdobywane są PB).";"Můžeš si odemknout stroje této země v 11 bojích proti hráčům (počítají se jen bitvy, ve kterých byly získány RP)";"Bu ülkenin araçlarını diğer oyunculara karşı 11 muharebeye katılarak açabilirsin(sadece araştırma puanı kazanılan savaşlar sayılacak).";"当\t你\t完\t成\t了 11 场\t多\t人\t对\t战\t后\t（必\t须\t获\t得\t研\t发\t点），\t该\t国\t载\t具\t便\t可\t全\t部\t解\t锁。";"この\t国の\t機体を\tアンロックするには\t対人戦で\t3、\t6、\t8、\t9\tバトル\t完了しなければなりません(RPが\t得られた\tバトルのみ)。";"Pode desbloquear veículos deste país combatendo em 11 batalhas contra outros jogadores (somente as batalhas onde PP ganhos são contabilizadas).";"Ви можете розблокувати техніку цієї країни, взявши участь у 11 боях проти інших гравців (в залік йдуть тільки ті бої, за які були отримані очки досліджень).";"Vozila ove države možete otključati nakon 9 borbi protiv drugih igrača ( računaju se samo borbe u kojima su zarađeni RP).";"Akkor válnak elérhetővé számodra ennek a nemzetnek a járművei, ha részt vettél 11 más játékosok ellen vívott csatában (csak az a csata számít ahol kaptál fejlesztési pontokat).";"이 국가의 장비에 대한 잠금을 해제하려면 다른 플레이어와 11번의 전투를 치러야 합니다. (연구점수를 얻은 경우만 계산됨)";"Каб адкрыць тэхніку гэтай дзяржавы, трэба ўзяць удзел у 11 баях супраць іншых гульцоў (залічваюцца толькі баі, у якіх былі атрыманыя пункты даследаванняў).";"Poți debloca vehiculele acestei țări participând la 11 lupte împotriva altor jucători (numai luptele unde se obțin PC sunt luate în considerare).";"可\t以\t透\t過\t與\t其\t他\t玩\t家\t進\t行\t11\t場\t戰\t鬥\t來\t解\t鎖\t這\t個\t國\t家\t的\t載\t具\t(僅\t計\t算\t獲\t得\t研\t發\t點\t數\t的\t戰\t鬥)";"当\t你\t完\t成\t了 11 场\t多\t人\t对\t战\t后\t（必\t须\t获\t得\t研\t发\t点），\t该\t国\t载\t具\t便\t可\t全\t部\t解\t锁。";"Bạn có thể mở khóa các phương tiện của quốc gia này bằng cách tham gia 11 trận đánh với người chơi khác (chỉ có trận đánh nơi bạn nhận được điểm kinh nghiệm mới được tính).";"COMMON FOR PLANES AND TANKS";
"mainmenu/noSuitableVehicles";"There is no suitable vehicle.
In <color=@activeTextColor>%s</color> game mode <color=@activeTextColor>%s</color> can be used only.
Change vehicle or game mode.";"Il n'y a pas d'équipage équipé avec un véhicule approprié dans le pays sélectionné.";"Non c'è nessun equipaggio con una unità adatta nel paese selezionato.";"Kein geeignetes Fahrzeug verfügbar. Im Spielmodus '<color=@activeTextColor>%s</color>' können nur '<color=@activeTextColor>%s</color>' verwendet werden.
Ändere dein Fahrzeug oder den Spielmodus.";"No hay ningún vehículo adecuado.
En el modo de <color=@activeTextColor>%s</color> solo puede usarse <color=@activeTextColor>%s</color>.
Cambie el vehículo o el modo de juego.";"Отсутствует необходимая техника.
В режиме <color=@activeTextColor>%s</color> используется только <color=@activeTextColor>%s</color>.
Смените технику или режим игры.";"Brak odpowiedniej maszyny.
W trybie <color=@activeTextColor>%s</color> mogą być użyte jedynie  <color=@activeTextColor>%s</color>.
Zmień maszynę lub tryb gry. ";"Nemáš žádný použitelný stroj
V módu <color=@activeTextColor>%s</color> může být použit pouze <color=@activeTextColor>%s</color>
Změň stroj nebo herní mód";"Uygun araç yok.
Bu <color=@activeTextColor>%s</color> oyun modunda <color=@activeTextColor>%s</color> kullanılabilen araçlar.
Araç veya oyun modunu değiştirin.";"载\t具\t配\t置\t不\t合\t要\t求。
在\t<color=@activeTextColor>%s</color>\t模\t式\t中，\t玩\t家\t只\t能\t使\t用\t<color=@activeTextColor>%s</color>。
请\t按\t需\t调\t整\t出\t击\t队\t列\t或\t直\t接\t切\t换\t游\t戏\t模\t式。";"適した\t機体がありません。\t
<color=@activeTextColor>%s</color>ゲームモードでは<color=@activeTextColor>%s</color>のみ\t使用できます。\t
機体もしくは\tゲームモードを\t変更してください。";"Não há veículo adequado.
No modo de jogo <color=@activeTextColor>%s</color> só pode ser usado <color=@activeTextColor>%s</color>.
Altere o veículo ou o modo de jogo.";"Відсутня необхідна техніка.
У режимі <color=@activeTextColor>%s</color> використовується тільки <color=@activeTextColor>%s</color>.
Змініть техніку або режим гри.";"Nema odgovarajućeg vozila.
U <color=@activeTextColor>%s</color>režimu<color=@activeTextColor>%s</color> samo može biti korišteno.
Promeni vozilo ili režim.";"Nincs megfelelő járműved.
<color=@activeTextColor>%s</color> játékmódban csak <color=@activeTextColor>%s</color> használható.
Válts járművet vagy játékmódot.";"알맞은 장비가 없습니다.
<color=@activeTextColor>%s</color> 게임 모드에서는 <color=@activeTextColor>%s</color> 만 사용할 수 있습니다.
장비 종류나 게임 모드 중 하나를 변경하세요.";"У гэтай дзяржавы няма прыдатнай тэхнікі.
У рэжыме <color=@activeTextColor>%s</color> можа ўжывацца толькі <color=@activeTextColor>%s</color>.
Змяніце дзяржаву або рэжым гульні.";"Nu există un vehicul potrivit.
În modul de joc <color=@activeTextColor>%s</color> poate fi folosit doar <color=@activeTextColor>%s</color>.
Schimbă vehiculul sau modul de joc.";"沒\t有\t合\t適\t的\t載\t具。
在\t<color=@activeTextColor>%s</color>\t模\t式\t中，\t玩\t家\t只\t能\t使\t用\t<color=@activeTextColor>%s</color> 。
請\t更\t換\t載\t具\t或\t是\t遊\t戲\t模\t式。";"载\t具\t配\t置\t不\t合\t要\t求。
在\t<color=@activeTextColor>%s</color>\t模\t式\t中，\t玩\t家\t只\t能\t使\t用\t<color=@activeTextColor>%s</color>。
请\t按\t需\t调\t整\t出\t击\t队\t列\t或\t直\t接\t变\t更\t游\t戏\t模\t式。";"Không có phương tiện phù hợp.
Trong chế độ chơi <color=@activeTextColor>%s</color>, chỉ có thể sử dụng <color=@activeTextColor>%s</color>.
Hãy thay đổi phương tiện hoặc chế độ chơi phù hợp.";;
"mainmenu/badCurrentUnit";"Selected crew is kitted with unsuitable vehicle for <color=@activeTextColor>%s</color> game mode.
In selected game mode <color=@activeTextColor>%s</color> can be used only.
Change vehicle or game mode.";"L'équipage sélectionné est équipé avec des véhicules inadaptés.";"L'equipaggio selezionato ha una unità non utilizzabile nella modalità <color=@activeTextColor>%s</color> .
Possono essere utilizzati solo <color=@activeTextColor>%s</color> .
Cambia unità o modalità di gioco.";"Die ausgewählte Besatzung ist mit einem ungeeigneten Fahrzeug ausgerüstet. Im Spielmodus '<color=@activeTextColor>%s</color>' können nur '<color=@activeTextColor>%s</color>' verwendet werden.
Ändere dein Fahrzeug oder den Spielmodus.";"La tripulación seleccionada está equipada con vehículos inadecuados para el modo de <color=@activeTextColor>%s</color>.
En el modo de juego seleccionado solo puede usarse <color=@activeTextColor>%s</color>.
Cambie el vehículo o el modo de juego.";"Выбранный экипаж снаряжён неподходящей техникой для режима игры <color=@activeTextColor>%s</color>.
В данном режиме можно использовать только <color=@activeTextColor>%s</color>.
Смените технику или режим игры.";"Wybranej załodze przydzielono pojazd lub samolot, który nie jest obsługiwany na danym trybie <color=@activeTextColor>%s</color>.
W wybranym trybie możesz używać jedynie <color=@activeTextColor>%s</color>
Zmień maszynę lub wybierz inny tryb. ";"Vybraná osádka je vybavena nevyhovujícím strojem pro mód <color=@activeTextColor>%s</color>
Ve vybraném herním módu může být použit pouze <color=@activeTextColor>%s</color>
Změň stroj nebo herní mód";"Seçilen mürettebat <color=@activeTextColor>%s</color> oyun modu için uygun olmayan araç ile donatıldı.
Seçilen oyun modunda yalnız <color=@activeTextColor>%s</color> kullanılabilir.
Araç veya oyun modunu değiştirin.";"所\t选\t乘\t员\t组\t使\t用\t了\t不\t合\t要\t求\t的\t载\t具。
在\t<color=@activeTextColor>%s</color>\t模\t式\t中，\t玩\t家\t只\t能\t使\t用\t<color=@activeTextColor>%s</color>。
请\t按\t需\t调\t整\t出\t击\t队\t列\t或\t直\t接\t切\t换\t游\t戏\t模\t式。";"選択された\t搭乗員は<color=@activeTextColor>%s</color>ゲームモードに\t適していない\t機体が\t与えられています。\t
選択された\tゲームモードでは<color=@activeTextColor>%s</color>のみ\t使用できます。\t
機体もしくは\tゲームモードを\t変更してください。";"A tripulação selecionada não está equipada com uma veículo adequado para o modo de jogo <color=@activeTextColor>%s</color>.
No modo de jogo apenas <color=@activeTextColor>%s</color> pode ser usado.
Mude o veículo ou o modo de jogo.";"Вибраний екіпаж споряджений непідходящою технікою для режиму гри <color=@activeTextColor>%s</color>.
У цьому режимі можна використати тільки <color=@activeTextColor>%s</color>.
Змініть техніку або режим гри.";"Selektovana posada je u neodgovarajućem vozilu za <color=@activeTextColor>%s</color>režimu.
U izabranom režimu <color=@activeTextColor>%s</color> samo može biti korišteno.
Promeni vozilo ili režim.";"A kiválasztott legénységi helyen lévő jármű nem alkalmas <color=@activeTextColor>%s</color> játékmódra.
A kiválasztott játékmódban csak <color=@activeTextColor>%s</color> használható.
Válts járművet vagy játékmódot.";"선택한 승무원에게 <color=@activeTextColor>%s</color> 게임 모드에 부적합한 장비가 할당되어 있습니다.
선택된 게임 모드에서는 <color=@activeTextColor>%s</color> 만 사용할 수 있습니다.
장비 또는 게임 모드를 변경하세요.";"Выбраным экіпажам укамплектавана тэхніка, непрыдатная для рэжыму гульні <color=@activeTextColor>%s</color>. 
У выбраным рэжыме можа ўжывацца толькі <color=@activeTextColor>%s</color>. 
Змяніце тэхніку або рэжым гульні.";"Echipajul selectat este echipat cu un vehicul necorespunzător pentru modul de joc <color=@activeTextColor>%s</color>.
În modul de joc selectat poate fi folosit doar <color=@activeTextColor>%s</color>.
Schimbă vehiculul sau modul de joc.";"選\t擇\t的\t乘\t員\t組\t配\t置\t了\t不\t合\t適\t的\t載\t具，\t在\t<color=@activeTextColor>%s</color>\t模\t式\t中，\t只\t有\t<color=@activeTextColor>%s</color> 能\t夠\t使\t用。
請\t更\t換\t載\t具\t或\t是\t遊\t戲\t模\t式。";"所\t选\t乘\t员\t组\t使\t用\t了\t不\t合\t要\t求\t的\t载\t具。
在\t<color=@activeTextColor>%s</color>\t模\t式\t中，\t玩\t家\t只\t能\t使\t用\t<color=@activeTextColor>%s</color>。
请\t按\t需\t调\t整\t出\t击\t队\t列\t或\t直\t接\t变\t更\t游\t戏\t模\t式。";"Kíp lái đã chọn không phù hợp với phương tiện cho chế độ chơi <color=@activeTextColor>%s</color>.
Trong chế độ chơi đã chọn, chỉ có thể sử dụng <color=@activeTextColor>%s</color>.
Hãy thay đổi phương tiện hoặc chế độ chơi phù hợp.";;
"mainmenu/airBattles";"Air battles";"Batailles Aériennes";"Battaglie Aeree";"Luftschlacht";"Batallas aéreas";"Воздушные бои";"Bitwy Powietrzne";"Letecké bitvy";"Hava muharebeleri";"空\t战";"航空戦";"Batalhas aéreas";"Повітряні бої";"Vazdušne bitke";"Légi csaták";"항공전";"Паветраныя баі";"Lupte aeriene";"空\t戰";"空\t战";"Không chiến";;
"mainmenu/tankBattles";"Tank battles";"Batailles de tanks";"Battaglie tra Carri armati";"Panzerschlacht";"Batallas de tanques";"Танковые бои";"Bitwy Pancerne";"Pozemní bitvy";"Tank muharebeleri";"陆\t战";"戦車戦";"Batalhas de tanques";"Танкові бої";"Tenkovske bitke";"Harckocsicsaták";"전차전";"Танкавыя баі";"Lupte terestre";"陸\t戰";"陆\t战";"Lục quân";;
"mainmenu/changeVehicle";"Change vehicle";"Changer de véhicule";"Cambia unità";"Fahrzeug wechseln";"Cambiar vehículo";"Сменить технику";"Zmień Maszynę";"Změnit stroj";"Aracı değiştir";"更\t换\t载\t具";"機体変更";"Mudar de veículo";"Змінити техніку";"Promeni vozilo";"Járműváltás";"장비 변경";"Змяніць тэхніку";"Schimbare vehicul";"變\t更\t載\t具";"更\t换\t载\t具";"Thay đổi phương tiện";;
"mainmenu/changeMode";"Change game mode";"Changer le mode de jeu";"Cambia modalità di gioco";"Spielmodus ändern";"Cambiar modo de juego";"Сменить режим";"Zmień tryb rozgrywki";"Změnit herní mód";"Oyun modunu değiştir";"切\t换\t游\t戏\t模\t式";"ゲームモードを\t変更";"Alterar modo de jogo";"Змінити режим гри";"Promeni režim igre";"Játékmódváltás";"게임 모드 변경";"Змяніць рэжым гульні";"Schimbare mod de joc";"變\t更\t遊\t戲\t模\t式";"变\t更\t游\t戏\t模\t式";"Thay đổi chế độ chơi";;
"mainmenu/battleTypeToltip";"Battle mode selection.
Here you select type of battle you will participate in.
In air battles aircraft may take part only.
In tank battles a major role is played by ground vehicles.";"Sélection du type de bataille.
Vous pouvez ici choisir le type de bataille auxquelles vous prendrez part.
Lors des batailles aériennes, seuls les avions prennent part.
Lors des batailles terrestres, les chers jouent un rôle majeur.";"Modalità battaglia.
Qui puoi scegliere la tipologia di battaglie a cui vuoi partecipare.
Nelle battaglie aeree possono partecipare solo gli Aerei.
Nelle battaglie tra carri il ruolo principale è giocato dalle unità terrestri.";"Auswahl des Spielmodus.
Hier kannst du die Art der Schlacht wählen, an der du teilnehmen möchtest.
In 'Luftschlachten' nehmen nur Flugzeuge teil.
In 'Panzerschlachten' wird die Hauptrolle von Landfahrzeugen übernommen.";"Selección del modo de batalla. Aquí seleccionas el tipo de batalla en el que participarás. En batallas aéreas solo participan aviones. En batallas de tanques el papel más importante lo juegan los vehículos terrestres.";"Выбор режима сражений.
Вы выбираете в какой бой вы вступите.
В воздушных боях могут участвовать только самолёты.
В танковых боях главную роль играет наземная техника.";"Wybór trybu bitwy:
Tutaj możesz wybrać tryb bitwy w którym weźmiesz udział.
W Bitwach Powietrznych mogą wziąć udział tylko samoloty.
W Bitwach Pancernych główną rolę odgrywają Wojska Lądowe, ale lotnictwo jest także obecne. ";"Výběr bitevního módu
Zde si vyber typ bitvy, které se chceš zúčastnit
Leteckých bitev se mohou účastnit pouze letadla
V pozemních bitvách jsou nejdůležitější vozidla";"Muharebe türü seçimi. 
Katılmak istediğiniz muharebenin türünü seçin.
Hava savaşlarında sadece uçaklar yer alabilir.
Tank savaşlarında kara birimleri önemli bir role sahiptir.";"可\t在\t此\t选\t择\t期\t望\t进\t行\t的\t游\t戏\t模\t式：
空\t战\t—\t—\t仅\t飞\t机\t能\t参\t与
陆\t战\t—\t—\t地\t面\t载\t具\t是\t主\t力，\t但\t飞\t机\t也\t能\t提\t供\t空\t中\t掩\t护";"バトルモードの\t選択
こちらでは\t参加したい\tバトルの\t種類を\t選択します。\t
航空戦では\t航空機のみ\t参加できます。\t
戦車戦では\t地上車両が\t主力を\t務めます。";"Seleção do modo de batalha.
Aqui pode selecionar o tipo de batalha em que irá participar.
Em batalhas aéreas, apenas aeronaves podem participar.
Em batalhas de tanques, o papel principal é desempenhado pelas forças terrestres.";"Ви вибираєте в який бій ви вступите.
У повітряних боях можуть брати участь тільки літаки.
В танкових боях головну роль відіграє наземна техніка.";"Izbor režima igre.
Ovde birate tip bitke u kojoj ćete učestvovati.
U vazdušnim bitkama mogu učestvovati samo avioni.
U tenkovskim bitkama glavnu ulogu imaju kopnena vozila.";"Csatamód kiválasztása.
Itt kiválaszthatod, hogy milyen típusú csatában szeretnél részt venni.
Légi csatákban csak repülőgépek vehetnek részt.
Harckocsicsatákban a szárazföldi járműveké a főszerep.";"전투 모드 선택
이곳에서 당신이 참가할 전투의 종류를 선택할 수 있습니다.
항공전은 항공기만 참가할 수 있습니다.
전차전은 지상 차량의 역할이 가장 중요합니다.";"Выбар рэжыму гульні. 
Тут можна выбраць тып бою, у якім вы возьмеце ўдзел. 
У паветраных баях могуць браць удзел толькі самалёты. 
У танкавых баях галоўную ролю грае наземная тэхніка.";"Selectare tip de luptă.
Aici se selectează tipul de luptă în care vei participa.
În luptele aeriene pot participa numai avioane.
În luptele terestre un rol major îl joacă vehiculele terestre.";"戰\t鬥\t模\t式\t選\t擇
這\t裡\t可\t以\t選\t擇\t參\t加\t的\t戰\t鬥\t類\t型
空\t戰\t—\t—\t僅\t飛\t機\t能\t參\t與
陸\t戰\t—\t—\t地\t面\t載\t具\t是\t主\t力，\t但\t飛\t機\t也\t能\t提\t供\t空\t中\t掩\t護";"可\t在\t此\t选\t择\t期\t望\t进\t行\t的\t游\t戏\t模\t式：
空\t战\t—\t—\t仅\t飞\t机\t能\t参\t与
陆\t战\t—\t—\t地\t面\t载\t具\t是\t主\t力，\t但\t飞\t机\t也\t能\t提\t供\t空\t中\t掩\t护";"Lựa chọn chế độ chơi.
Hãy lựa chọn chế độ chơi mà bạn muốn tham gia.
Không chiến chủ yếu dành cho máy bay tham chiến.
Lục chiến chủ yếu dành cho các phương tiện mặt đất tham chiến.";;
"crew_not_available";"This crew can't be used for this mission anymore.";"Cet équipage ne peut plus utilisé dans cette mission.";"Questo equipaggio non può essere più impiegato in questa missione.";"Diese Besatzung kann in dieser Mission nicht mehr eingesetzt werden.";"Esta tripulación ya no se puede utilizar en esta misión.";"Данный экипаж больше нельзя выбрать в текущей миссии.";"Nie możesz już wysłać tej załogi na tę misję.";"Tuto osádku už nelze v této misi použít";"Bu ekip, artık bu görevde kullanılamaz.";"此\t乘\t员\t组\t已\t无\t法\t继\t续\t执\t行\t该\t任\t务。";"この\t搭乗員はこの\tミッションではこれ\t以上使用できません。";"Esta tripulação não pode ser usada mais para esta missão.";"Цей екіпаж більше не можна вибрати в поточній місії.";"Ova posada se više ne može koristiti u ovoj misji.";"Ez a legénység már nem használható a küldetésben.";"이 승무원은 이 임무에 더 이상 투입할 수 없습니다.";"Гэты экіпаж ужо нельга адправіць на гэту місію.";"Aceste echipaj nu mai poate fi folosit pentru această misiune.";"這\t個\t乘\t員\t組\t已\t無\t法\t繼\t續\t執\t行\t該\t任\t務";"此\t乘\t员\t组\t已\t无\t法\t继\t续\t执\t行\t该\t任\t务。";"Kíp lái này không được thực hiện nhiệm vụ này nữa.";;
